sample	reference	dispath	refpath
01BR001	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/01BR001_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
01BR008	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/01BR008_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
01BR009	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/01BR009_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
01BR010	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/01BR010_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
01BR015	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/01BR015_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
01BR017	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/01BR017_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
01BR018	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/01BR018_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
01BR020	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/01BR020_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
01BR023	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/01BR023_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
01BR025	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/01BR025_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
01BR026	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/01BR026_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
01BR027	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/01BR027_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
01BR030	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/01BR030_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
01BR031	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/01BR031_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
01BR032	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/01BR032_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
01BR033	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/01BR033_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
01BR040	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/01BR040_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
01BR042	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/01BR042_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
01BR043	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/01BR043_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
03BR002	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/03BR002_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
03BR004	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/03BR004_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
03BR005	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/03BR005_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
03BR006	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/03BR006_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
03BR010	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/03BR010_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
03BR011	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/03BR011_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
03BR012	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/03BR012_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
03BR013	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/03BR013_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05BR001	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/05BR001_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05BR003	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/05BR003_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05BR004	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/05BR004_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05BR005	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/05BR005_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05BR009	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/05BR009_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05BR016	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/05BR016_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05BR026	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/05BR026_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05BR029	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/05BR029_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05BR031	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/05BR031_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05BR038	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/05BR038_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05BR042	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/05BR042_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05BR043	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/05BR043_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05BR044	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/05BR044_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05BR045	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/05BR045_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
06BR003	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/BR/06BR003_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
01CO001	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/01CO001_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
01CO005	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/01CO005_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
01CO006	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/01CO006_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
01CO008	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/01CO008_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
01CO013	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/01CO013_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
01CO014	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/01CO014_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
01CO015	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/01CO015_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
01CO019	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/01CO019_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
01CO022	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/01CO022_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO002	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO002_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO003	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO003_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO005	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO005_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO006	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO006_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO007	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO007_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO011	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO011_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO014	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO014_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO015	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO015_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO020	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO020_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO026	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO026_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO028	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO028_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO029	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO029_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO032	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO032_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO033	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO033_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO034	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO034_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO035	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO035_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO037	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO037_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO039	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO039_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO041	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO041_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO044	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO044_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO045	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO045_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO047	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO047_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO048	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO048_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO049	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO049_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO050	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO050_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO053	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO053_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO054	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO054_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
05CO055	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/05CO055_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
06CO001	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/06CO001_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
06CO002	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/06CO002_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
09CO005	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/09CO005_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
09CO006	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/09CO006_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
09CO008	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/09CO008_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
09CO011	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/09CO011_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
09CO013	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/09CO013_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
09CO014	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/09CO014_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
09CO015	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/09CO015_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
09CO018	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/09CO018_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
09CO019	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/09CO019_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
09CO022	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/09CO022_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO005	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO005_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO007	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO007_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO008	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO008_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO010	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO010_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO018	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO018_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO019	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO019_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO020	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO020_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO021	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO021_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO022	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO022_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO027	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO027_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO030	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO030_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO031	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO031_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO032	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO032_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO033	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO033_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO036	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO036_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO037	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO037_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO039	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO039_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO042	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO042_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO043	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO043_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO044	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO044_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO045	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO045_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO047	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO047_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO048	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO048_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO051	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO051_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO052	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO052_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO053	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO053_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO054	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO054_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO057	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO057_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
11CO058	GRCh37	/diskmnt/Projects/Users/wliang/MSIsensor2/03_msi2vcf/input/CO/11CO058_dis.gz	/diskmnt/Datasets/Reference/GRCh37-lite/GRCh37-lite-chr_with_chrM.fa
